#x      #y      #z      #c      #comment Prime
13      00      0       4       #
13      02      26      4       #
13      05      05      4       #
13      04      22      4       #
13      06      18      4       #
13      08      14      4       #
13      09      27      4       #
13      10      10      4       #
13      12      06      4       #
13      14      02      4       #
13      15      15      4       #
13      16      28      4       #
13      18      24      4       #
13      20      20      4       #
13      21      03      4       #
13      22      16      4       #
13      24      12      4       #
13      25      25      4       #
13      26      08      4       #
13      28      04      4       #
17      00      0       4       #
17      02      04      4       #
17      05      25      4       #
17      04      08      4       #
17      06      12      4       #
17      08      16      4       #
17      09      03      4       #
17      10      20      4       #
17      12      24      4       #
17      14      28      4       #
17      15      15      4       #
17      16      02      4       #
17      18      06      4       #
17      20      10      4       #
17      21      27      4       #
17      22      14      4       #
17      24      18      4       #
17      25      05      4       #
17      26      22      4       #
17      28      26      4       #
13      30      0       4       #
13      32      26      4       #
13      33      09      4       #
13      34      22      4       #
13      35      05      4       #
13      36      18      4       #
13      38      14      4       #
13      39      27      4       #
13      40      10      4       #
13      42      06      4       #
13      44      02      4       #
13      45      15      4       #
13      46      28      4       #
13      48      24      4       #
13      49      07      4       #
13      50      20      4       #
13      51      03      4       #
13      52      16      4       #
13      54      12      4       #
13      55      25      4       #
13      56      08      4       #
13      57      21      4       #
13      58      04      4       #
17      30      0       4       0
17      32      04      4       #
17      33      21      4       #
17      34      08      4       #
17      35      25      4       #
17      36      12      4       #
17      38      16      4       #
17      39      03      4       #
17      40      20      4       #
17      42      24      4       #
17      44      28      4       #
17      45      15      4       #
17      46      02      4       #
17      48      06      4       #
17      49      23      4       #
17      50      10      4       #
17      51      27      4       #
17      52      14      4       #
17      54      18      4       #
17      55      05      4       #
17      56      22      4       #
17      57      09      4       #
17      58      26      4       #
13      60      0       4       #
13      62      26      4       #
13      63      09      4       #
13      64      22      4       #
13      65      05      4       #
13      66      18      4       #
13      68      14      4       #
13      69      27      4       #
13      70      10      4       #
13      72      06      4       #
13      73      19      4       #
13      74      02      4       #
13      75      15      4       #
13      76      28      4       #
13      77      11      4       #
13      78      24      4       #
13      80      20      4       #
13      81      03      4       #
13      82      16      4       #
13      84      12      4       #
13      85      25      4       #
13      86      08      4       #
13      87      21      4       #
13      88      04      4       #
17      60      0       4       #
17      62      04      4       #
17      63      21      4       #
17      64      08      4       #
17      65      25      4       #
17      66      12      4       #
17      68      16      4       #
17      69      03      4       #
17      70      20      4       #
17      72      24      4       #
17      73      11      4       #
17      74      28      4       #
17      75      15      4       #
17      76      02      4       #
17      77      19      4       #
17      78      06      4       #
17      80      10      4       #
17      81      27      4       #
17      82      14      4       #
17      84      18      4       #
17      85      05      4       #
17      86      22      4       #
17      87      09      4       #
17      88      26      4       #
