##
##    all possible prime = 8
##
##
 #z      #x      #y     #c
 1       1       1      8
 1       29      29     8
 #z      #x      #y     #c
 29      1       29     8
 29      29      1      8
 #z      #x      #y     #c
 7       1       7      8
 7       29      23     8
 #z      #x      #y     #c
 23      1       23     8
 23      29      7      8
 #z      #x      #y     #c
 11      1       11     8
 11      29      19     8
 #z      #x      #y     #c
 19      1       19     8
 19      29      11     8
 #z      #x      #y     #c
 13      1       13     8
 13      29      17     8
 #z      #x      #y     #c
 17      1       17     8
 17      29      13     8
