##########  lines to join *pairs
# make the shortest line the lowest color
#####  1 29
#x  #y  #z  #c
1   7    7  18
1   23  23  18


#x  #y  #z  #c
29  7   23  18
29  23   7  18


#### 7 23
#x  #y  #z  #c
7   7   19  18  #should be 18 was 24
7   23  11  18  #should be 18 was 24


23  7   11  18  #should be 18 was 24
23  23  19  18  #should be 18 was 24


#### 11 19
#x  #y  #z  #c
11  7   17  18
11  23  13  18


#x  #y  #z  #c
19  7   13  18
19  23  17  18


#### 13 17
#x  #y  #z  #c
13  7   01  18
13  23  29  18


#x  #y  #z  #c
17  7   29  18
17  23  01  18


####    #  1 29
#x      #y      #z      #c
1       37      37      18
1       53      53      18


#x      #y      #z      #c
29      37      53      18
29      53      37      18


####    7 23
#x      #y      #z      #c
7       37      49      18
7       53      41      18


23      37      41      18
23      53      49      18


####    11 19
#x      #y      #z      #c
11      37      47      18
11      53      43      18


#x      #y      #z      #c
19      37      43      18
19      53      47      18


####    13 17
#x      #y      #z      #c
13      37      31      18
13      53      59      18


#x      #y      #z      #c
17      37      59      18
17      53      31      18


####    #  1 29
#x      #y      #z      #c
1       67      67      18
1       83      83      18


#x      #y      #z      #c
29      67      83      18
29      83      67      18


####    7 23
#x      #y      #z      #c
7       67      79      18
7       83      71      18


23      67      71      18
23      83      79      18


####    11 19
#x      #y      #z      #c
11      67      77      18
11      83      73      18


#x      #y      #z      #c
19      67      73      18
19      83      77      18


####    13 17
#x      #y      #z      #c
13      67      61      18
13      83      89      18


#x      #y      #z      #c
17      67      89      18
17      83      61      18

