##
##    all possible prime = 8
##
##
 #z      #x      #y     #c
 1       1       1      8
 1       7       7      8
 1       11      11     8
 1       13      13     8
 1       17      17     8
 1       19      19     8
 1       23      23     8
 1       29      29     8
 #z      #x      #y     #c
 29      1       29     8
 29      7       23     8
 29      11      19     8
 29      13      17     8
 29      17      13     8
 29      19      11     8
 29      23      7      8
 29      28      2      8
 #z      #x      #y     #c
 7       1       7      8
 7       7       19     8
 7       11      17     8
 7       13      1      8
 7       17      29     8
 7       19      13     8
 7       23      11     8
 7       29      23     8
 #z      #x      #y     #c
 23      1       23     8
 23      7       11     8
 23      11      13     8
 23      13      29     8
 23      17      1      8
 23      19      17     8
 23      23      19     8
 23      29      7      8
 #z      #x      #y     #c
 11      1       11     8
 11      7       17     8
 11      11      1      8
 11      13      23     8
 11      17      7      8
 11      19      29     8
 11      23      13     8
 11      29      19     8
 #z      #x      #y     #c
 19      1       19     8
 19      7       13     8
 19      11      29     8
 19      13      7      8
 19      17      23     8
 19      19       1     8
 19      23      17     8
 19      29      11     8
 #z      #x      #y     #c
 13      1       13     8
 13      7       1      8
 13      11      23     8
 13      13      19     8
 13      17      11     8
 13      19      7      8
 13      23      29     8
 13      29      17     8
 #z      #x      #y     #c
 17      1       17     8
 17      7       29     8
 17      11      7      8
 17      13      11     8
 17      17      19     8
 17      19      23     8
 17      23      1      8
 17      29      13     8

#z       #x       #y       #c
1        31       31       8
1        37       37       8
1        41       41       8
1        43       43       8
1        47       47       8
1        49       49       8
1        53       53       8
1        59       59       8
#z       #x       #y       #c
29       31       59       8
29       37       53       8
29       41       49       8
29       43       47       8
29       47       43       8
29       49       41       8
29       53       37       8
29       58       32       8
#z       #x       #y       #c
7        31       37       8
7        37       49       8
7        41       47       8
7        43       31       8
7        47       59       8
7        49       43       8
7        53       41       8
7        59       53       8
#z       #x       #y       #c
23       31       53       8
23       37       41       8
23       41       43       8
23       43       59       8
23       47       31       8
23       49       47       8
23       53       49       8
23       59       37       8
#z       #x       #y       #c
11       31       41       8
11       37       47       8
11       41       31       8
11       43       53       8
11       47       37       8
11       49       59       8
11       53       43       8
11       59       49       8
#z       #x       #y       #c
19       31       49       8
19       37       43       8
19       41       59       8
19       43       37       8
19       47       53       8
19       49       31       8
19       53       47       8
19       59       41       8
#z       #x       #y       #c
13       31       43       8
13       37       31       8
13       41       53       8
13       43       49       8
13       47       41       8
13       49       37       8
13       53       59       8
13       59       47       8
#z       #x       #y       #c
17       31       47       8
17       37       59       8
17       41       37       8
17       43       41       8
17       47       49       8
17       49       53       8
17       53       31       8
17       59       43       8

 #z      #x      #y      #c
1       61      61      8
1       67      67      8
1       71      71      8
1       73      73      8
1       77      77      8
1       79      79      8
1       83      83      8
1       89      89      8
#z      #x      #y      #c
29      61      89      8
29      67      83      8
29      71      79      8
29      73      77      8
29      77      73      8
29      79      71      8
29      83      67      8
29      88      62      8
#z      #x      #y      #c
7       61      67      8
7       67      79      8
7       71      77      8
7       73      61      8
7       77      89      8
7       79      73      8
7       83      71      8
7       89      83      8
#z      #x      #y      #c
23      61      83      8
23      67      71      8
23      71      73      8
23      73      89      8
23      77      61      8
23      79      77      8
23      83      79      8
23      89      67      8
#z      #x      #y      #c
11      61      71      8
11      67      77      8
11      71      61      8
11      73      83      8
11      77      67      8
11      79      89      8
11      83      73      8
11      89      79      8
#z      #x      #y      #c
19      61      79      8
19      67      73      8
19      71      89      8
19      73      67      8
19      77      83      8
19      79      61      8
19      83      77      8
19      89      71      8
#z      #x      #y      #c
13      61      73      8
13      67      61      8
13      71      83      8
13      73      79      8
13      77      71      8
13      79      67      8
13      83      89      8
13      89      77      8
#z      #x      #y      #c
17      61      77      8
17      67      89      8
17      71      67      8
17      73      71      8
17      77      79      8
17      79      83      8
17      83      61      8
17      89      73      8






